,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,대표장르,감독,배우
955,956,디어 에반 핸슨,2021-11-17,1956000,0.00%,1082798550,276,109063,2,18,미국,미국,정보없음,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,스티븐 크보스키,"벤 플랫,줄리안 무어,에이미 아담스,케이틀린 디버,아만들라 스텐버그,닉 도다니,콜튼 라이언"
956,956,변호인,2013-12-18,1965000,0.00%,82876713788,276,11375399,1,6,한국,한국,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,양우석,"송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,차광수,한기중,심희섭,김동현,조완기,차은재,최주희,주명철,조선묵,유하복,김봉환,지건우,최은석,최현,최정현,박상현,신안진,조기왕,조유신,이선희,장리우,정준원,이정은,이진희,민경옥,정성화,박성근,신승용,김찬이,원호섭,윤탁,한승도,조용준,정재민,권오진,이설구,노영하,장우진,이해성,김승태,신욱,황건,권영국,양명헌,정원조,윤준호,이호원,설창희,홍도성,김형석,김호진,양정인,이동현,이정건,김리후,육미옥,김호연,백성식,김선주,김가영,이준기,이형은,김서영,오병남,전광진,조현덕,김경인,이상호,김성민,류수영,박수영,이경인,최태환,김서영,이현정,설창희,양도현"
957,958,5인의 해병,정보없음,578000,0.00%,10026000,275,4967,1,25,한국,한국,정보없음,정보없음,청소년관람불가,전쟁,김기덕,"곽규석,황해,최무룡,신영균,박노식"
958,958,괴인,정보없음,2200000,0.00%,2200000,275,275,1,3,한국,한국,정보없음,정보없음,정보없음,드라마,이정홍,정보없음
959,958,살인광시대,1990-09-29,550000,0.00%,4231500,275,1155,1,12,미국,미국,"찰리채플린프로덕션,유나이티드 아티스트","(주)엣나인필름,유나이티드 아티스트",연소자관람가,드라마,찰리 채플린,"찰리 채플린,마사 레이"
960,958,클로즈,2023-05-03,2845500,0.00%,2845500,275,275,1,3,벨기에,"벨기에,네덜란드,프랑스",정보없음,"찬란,(주)하이스트레인저",12세이상관람가,드라마,루카스 돈트,"에덴 담브린,구스타브 드 와엘"
961,962,영화사 1부,정보없음,1890000,0.00%,4400000,274,668,1,2,프랑스,프랑스,정보없음,정보없음,정보없음,다큐멘터리,장 뤽 고다르,정보없음
962,963,그것만이 내 세상,2018-01-17,2250000,0.00%,27459360382,273,3420494,1,2,한국,한국,"(주)제이케이필름,(주)씨제이이엔엠",(주)씨제이이엔엠,12세이상관람가,코미디,최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영,최리,이가경,이상준,박현주,이소정,이정호,이종승,이주영,이준석,안성봉,박상훈,박성훈,박소은,장혜리,정승환,박지연,박지훈,박지훈,조윤주,김동규,김민주,김유진,박지연,정윤하,오혜원,류제승,권귀빈,백현진,유정호,김서원,김병춘,김현정,김상욱,서정우"
963,963,에우리디체,2022-03-01,7271900,0.00%,7271900,273,273,6,45,미국,미국,정보없음,(주) 인스터 글로벌,전체관람가,공연,정보없음,정보없음
964,963,흑권,1973-09-09,546000,0.00%,2422000,273,1211,1,9,한국,한국,안양,정보없음,12세이상관람가,액션,황풍,"이준구,모영"
